id,codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
2418,0026205501,0068,2017-08-25T19:55:00.000,20.24239,EL ROSARIO  - AUT,ANTIOQUIA,VENECIA,CAUCA,5.625830556,-75.70527778,Temp Aire 2 m,°C
2419,0021206940,0068,2011-03-02T15:00:00.000,13,CIUDAD BOLIVAR,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.577,-74.177,Temp Aire 2 m,°C
2420,0026135330,0068,2016-01-09T04:00:00.000,0.8,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,CAUCA,4.776361111,-75.4125,Temp Aire 2 m,°C
2421,0052055220,0068,2016-05-01T12:00:00.000,17,EL PARAISO - AUT,NARIÑO,TÚQUERRES,PATÍA,1.070611111,-77.63688889,Temp Aire 2 m,°C
2422,0021202240,0068,2015-03-19T12:10:00.000,13.06,UAN SEDE CIRCUNVALAR - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.633,-74.05,Temp Aire 2 m,°C
2423,0023025502,0068,2019-08-02T05:25:00.000,6.467052,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,MEDIO MAGDALENA,5.044997222,-75.33221944,Temp Aire 2 m,°C
2424,2120000106,0068,2019-04-06T06:19:00.000,9.96,GRAN BRETAÑA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.512,-74.164,Temp Aire 2 m,°C
2425,0026135502,0068,2018-03-22T05:35:00.000,17.10666,EL JAZMIN  - AUT,RISARALDA,SANTA ROSA DE CABAL,CAUCA,4.911944444,-75.62416389,Temp Aire 2 m,°C
2426,0021015050,0068,2013-06-03T01:00:00.000,14.4,PURACE  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.925916667,-76.42755556,Temp Aire 2 m,°C
2427,0026125503,0068,2017-06-21T19:00:00.000,20.29309,LA SIRENA  - AUT,VALLE DEL CAUCA,SEVILLA,CAUCA,4.285,-75.9025,Temp Aire 2 m,°C
2428,0021050090,0068,2019-03-17T03:00:00.000,18.6,NATAGA  - AUT,HUILA,NÁTAGA,ALTO MAGDALENA,2.551444444,-75.8065,Temp Aire 2 m,°C
2429,0021085501,0068,2019-01-20T19:05:00.000,18.89171,TERUEL  - AUT,HUILA,TERUEL,ALTO MAGDALENA,2.762997222,-75.61144167,Temp Aire 2 m,°C
2430,0021205502,0068,2018-12-13T00:50:00.000,19.13861,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,ALTO MAGDALENA,4.544997222,-74.44055556,Temp Aire 2 m,°C
2431,0023055502,0068,2018-01-06T16:00:00.000,22.64786,VILLARAZ  - AUT,CALDAS,PENSILVANIA,MEDIO MAGDALENA,5.383333333,-75.06638889,Temp Aire 2 m,°C
2432,0021115170,0068,2019-08-03T08:00:00.000,14.3,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759138889,-75.07455556,Temp Aire 2 m,°C
2433,0021205502,0068,2018-09-14T15:15:00.000,18.99148,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,ALTO MAGDALENA,4.544997222,-74.44055556,Temp Aire 2 m,°C
2434,0026125290,0068,2007-12-21T05:00:00.000,17,ARMENIA - AUT,QUINDÍO,ARMENIA,CAUCA,4.531583333,-75.69069444,Temp Aire 2 m,°C
2435,0021205791,0068,2017-07-07T17:00:00.000,16.5,APTO EL DORADO - TX GPRS,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.706,-74.151,Temp Aire 2 m,°C
2436,0026155250,0068,2018-02-13T11:00:00.000,3.2,PARAMO CONEJERAS  - AUT,CALDAS,VILLAMARIA,CAUCA,4.829805556,-75.37583333,Temp Aire 2 m,°C
2437,0026165501,0068,2019-03-20T22:20:00.000,18.49417,EL CIPRES  - AUT,CALDAS,SALAMINA,CAUCA,5.433333333,-75.5,Temp Aire 2 m,°C
2438,0024035410,0068,2018-09-25T22:27:00.000,0,SOGAMOSO - AUT,BOYACÁ,SOGAMOSO,SOGAMOSO,5.753333333,-72.91115278,Temp Aire 2 m,°C
2439,0037015501,0068,2017-05-20T17:25:00.000,11.1,LABATECA  - AUT,NORTE DE SANTANDER,LABATECA,ARAUCA,7.296058333,-72.49772778,Temp Aire 2 m,°C
2440,0026085501,0068,2019-04-03T16:55:00.000,23.40314,LA CELIA  - AUT,RISARALDA,LA CELIA,CAUCA,5.001330556,-75.998,Temp Aire 2 m,°C
2441,0028025130,0068,2010-07-02T20:00:00.000,27.2,LA LOMA CARBONES - AUT,CESAR,EL PASO,CESAR,9.640611111,-73.52394444,Temp Aire 2 m,°C
2442,0016055120,0068,2018-12-03T07:00:00.000,15.3,AGUAS DE LA VIRGEN  - AUT,NORTE DE SANTANDER,OCAÑA,CATATUMBO,8.227694444,-73.3975,Temp Aire 2 m,°C
2443,0026135502,0068,2016-07-27T13:30:00.000,24.6,EL JAZMIN  - AUT,RISARALDA,SANTA ROSA DE CABAL,CAUCA,4.911944444,-75.62416389,Temp Aire 2 m,°C
2444,0026165501,0068,2018-04-21T23:45:00.000,17.85621,EL CIPRES  - AUT,CALDAS,SALAMINA,CAUCA,5.433333333,-75.5,Temp Aire 2 m,°C
2445,0026145507,0068,2016-07-06T08:05:00.000,17.4,LAS TANGAS  - AUT,CALDAS,BELALCAZAR,CAUCA,5.038,-75.80599722,Temp Aire 2 m,°C
2446,0023125160,0068,2012-11-18T21:00:00.000,22.1,SAN PABLO DE BORBUR  - AUT,BOYACÁ,SAN PABLO DE BORBUR,MEDIO MAGDALENA,5.647027778,-74.07130556,Temp Aire 2 m,°C
2447,0028045501,0068,2017-10-03T07:05:00.000,18.13689,PUEBLO BELLO  - AUT,CESAR,PUEBLO BELLO,CESAR,10.42166667,-73.57471944,Temp Aire 2 m,°C
2448,0052055501,0068,2017-05-29T15:40:00.000,24.3,OSPINA PEREZ  - AUT,NARIÑO,CONSACÁ,PATÍA,1.254722222,-77.48777778,Temp Aire 2 m,°C
2449,0054077210,0068,2016-01-22T22:00:00.000,27.2,JUANCHACO - AUT,VALLE DEL CAUCA,BUENAVENTURA,SAN JUÁN,3.925147222,-77.34900556,Temp Aire 2 m,°C
2450,0053115502,0068,2019-08-18T22:45:00.000,19.65916,JULIO FERNANDEZ  - AUT,VALLE DEL CAUCA,RESTREPO,TAPAJE - DAGUA - DIRECTOS,3.809163889,-76.53305556,Temp Aire 2 m,°C
